"Date","Open","High","Low","Close","Volume"
"1976-03-01",972.61,1018.03,964.18,999.45,23787800
"1976-02-02",975.28,1002.83,946.16,972.61,32793100
"1976-01-02",852.41,985.99,848.63,975.28,32111400
"1975-12-01",860.67,866.11,812.81,852.41,16633600
"1975-11-03",836.04,865.79,821.08,860.67,17456800
"1975-10-01",793.88,859.57,780.54,836.04,16454300
"1975-09-02",835.34,849.03,789.66,793.88,13697100
"1975-08-01",831.51,844.02,785.75,835.34,14140400
"1975-07-01",878.99,888.85,819.15,831.51,20737200
"1975-06-02",835.73,884.62,811.23,878.99,22210900
"1975-05-01",821.34,868.58,807.96,832.29,22864700
"1975-04-01",768.15,835.18,736.62,821.34,21336800
"1975-03-03",739.05,796.93,731.46,768.15,23494000
"1975-02-03",703.69,757.35,695.24,739.05,23221000
"1975-01-02",619.13,717.3,619.13,703.69,20781300
"1974-12-02",616.08,619.84,570.01,616.24,16005700
"1974-11-01",665.52,692.82,599.81,618.66,14709500
"1974-10-01",607.87,689.3,573.22,665.52,17214700
"1974-09-03",678.58,686.48,598.8,607.87,14752500
"1974-08-01",757.43,803.43,651.6,678.58,13469500
"1974-07-01",802.41,811.95,753.13,757.43,12956800
"1974-06-03",802.17,865.54,796.46,802.41,12867500
"1974-05-01",836.75,870.38,788.8,802.17,12998100
"1974-04-01",846.68,875.94,818.68,836.75,12630900
"1974-03-01",860.53,904.02,841.76,846.68,15321400
"1974-02-01",855.55,871.4,795.68,860.53,14236300
"1974-01-02",850.86,890.38,816.57,855.55,17144000
"1973-12-03",820.51,861.09,783.56,850.86,20392500
"1973-11-01",956.58,963.8,810.36,822.25,19775200
"1973-10-01",947.1,997.59,937.69,956.58,19164700
"1973-09-04",887.57,964.55,873.34,947.1,18177300
"1973-08-01",924.37,924.37,845.5,887.57,12390800
